Question,Answer,Class
Are there any Tax benefits with this product,"Yes, you may be eligible for tax benefits under section 80D of the Income Tax Act 1961.Please note that the above mentioned benefits are as per the current tax laws. Your tax benefits may change if the tax laws are changed. It is advisable to re-confirm the same with your tax consultant.",insurance
Are there any exclusions under this product,"Unless expressly stated to the contrary in this Policy, HDFC Life will not make any payment for any claim in respect of any Life Assured if it is directly or indirectly caused by, arises from or is in any way attributable to any of the following: Treatment for congenital disease or deformity, including physical defects present from birth will not be covered by the policy. Hospitalization and/or surgery is/are not in accordance with the diagnosis and treatment of the condition for which the hospital confinement or surgery was required; Any condition with respect to the covered benefits, for which the insured had signs or symptoms, and/or was diagnosed, and/or received medical advice/treatment within the waiting period. Elective surgery or treatment which is not medically necessary; Weight reduction or weight improvement regardless of whether the same is caused (directly or indirectly) by a medical condition; Study and treatment of sleep apnoea; Routine eye tests, any dental treatment or surgery of cosmetic nature, extraction of impacted tooth/teeth, orthodontics or orthognathic surgery, or tempero-mandibular joint disorder except as necessitated by an accidental injury and warranting hospitalization Outpatient treatment Hospitalization and/or surgery relating to infertility or impotency, sex change or any treatment related to it, abortion, sterilization and contraception including any complications relating thereto; Hospitalization and/or surgery for treatment arising from pregnancy and it’s complications which shall include childbirth or miscarriage; Hospitalisation primarily for any purpose which in routine could have been carried out on an out-patient basis and which is not followed by an active treatment or intervention during the period of hospitalization. Experimental or unproven procedures or treatments, devices or pharmacological regimens of any description (not recognized by Indian Medical Council) or hospitalization for treatment under any system other than allopathy; Any mental or psychiatric condition including but not limited to insanity, mental or nervous breakdown / disorder, depression, dementia, or psychosomatic disorders. Alzheimer’s disease will also be excluded from all the covered benefits except Critical Illness. Convalescence, rest cure, sanatorium treatment, rehabilitation measures, respite care, long term nursing care or custodial care and general debility or exhaustion (run down condition) Directly or indirectly arising from alcohol, drug or unless taken in accordance to the dosage and duration as prescribed by the independent medical practitioner substance abuse and any illness or accidental physical injury which may be suffered after consumption of intoxicating substances, liquors or drugs; Directly or indirectly arising from or consequent upon war, invasion, acts of foreign enemies, hostilities (whether war be declared or not), civil war, terrorism, rebellion, active participation in strikes, riots or civil commotion, revolution, insurrection or military or usurped power and Sexually transmitted diseases or any treatment in the presence of HIV infection Acquired Cosmetic or plastic surgery except to the extent that such surgery is necessary for the repair of damage caused solely by accidental injuries, cancer or burns. Treatment of xanthelesema, , acne and alopecia; circumcision unless necessary for treatment of a disease or necessitated due to an accident Nuclear disaster, radioactive contamination and/or release of nuclear or atomic energy; Injury or illness caused by intentionally self-inflicted injuries; or any attempts of suicide while sane or insane; or deliberate exposure to exceptional danger (except in an attempt to save human life); Injury or illness caused by violation or attempted violation of the law, or resistance to arrest; or by active participation in an act with criminal intent. Injury or illness caused by professional sports, racing of any kind, scuba diving, aerial sports, activities such as hand-gliding, ballooning, and any other hazardous activities or sports unless agreed by special endorsement; Hospitalization where the Life Assured is a donor for any organ transplant; Any injury, sickness or disease received as a result of aviation, gliding or any form of aerial flight other than on a scheduled commercial airline as a bona fide passenger (whether fare paying or not), pilot or crew member Treatment to relieve symptoms caused by ageing, puberty, or other natural physiological cause, such as menopause and hearing loss caused by maturing or ageing. Artificial life maintenance, including life support machine use, where such treatment will not result in recovery or restoration of the previous state of health. Treatment of abnormalities, deformities, or Illnesses present only because they have been passed down through the generations of the family. Treatment for, or related to developmental problems, including Learning difficulties, such as dyslexia and behavioural problems, including Attention Deficit Hyperactivity Disorder (ADHD). In addition to the above, no Critical Illness Benefit will be payable for any of the following: Date of diagnosis within 90 days from date of commencement or reinstatement of cover Critical Illness Benefit, where death occurs within 30 days of the date of diagnosis Policy in the lapsed condition as on the date of diagnosis Any more than one claim in respect of Critical Illness Benefit Non-fulfilment of eligibility criteria for Critical Illness Benefit covered under the policy",insurance
What if I don’t/miss to pay premiums,"Premium(s) due on this policy should be paid on or before the premium due date. You are advised to pay the premium in time to continue enjoying the benefits of this policy. However, in case you are unable to do so, you have a grace period after the premium due date within which you can pay the due premium. Grace period available for annual frequency is 30 days whereas there is no grace period for one time/ single payment frequency. If you pay the due premium within grace period the policy will continue without any break. Following conditions will apply during grace period. The cover under the policy shall remain in-force during the grace period Should a valid claim arise under the policy during the grace period, but before the payment of due premium, HDFC Life shall still honour the claim. In such cases, the due and unpaid premium will be deducted from any benefit payable.",insurance
What if I don’t/miss to pay premiums even in the Grace period,"In the event of non-payment of premiums due under the policy by the expiry of the grace period, the policy will lapse with effect from the premium due date. The cover will cease and no benefits will be payable in case of lapsed policy.",insurance
Can I reinstate the policy if it is lapsed,"If your policy is lapsed, you may request HDFC Life in writing to revive your policy within 2 consecutive years from the date of first unpaid premium. The following conditions will apply in case of revival of the policy: All pending premium should be immediately paid along with any interest that is advised by HDFC Life. The current interest rate used for revival is 10.5% p.a. Any agreement to revive or reinstate would be subject to satisfactory evidence of good health Reinstatement request will attract the following : If the policy is revived within 60 days, only the remaining part of all time bound exclusions and waiting periods will apply If the policy is revived after 60 days, all time bound exclusions and waiting periods will be applied afresh",insurance
Is there any death benefit under this product,There is no death benefit payable under this product.,insurance
Is there any Surrender benefit under this product,"There is no surrender value available under this plan for regular pay. Under single pay, only if all the options chosen by the policyholder are surrendered and no claims are made, the policy can be surrendered. The surrender value would be calculated as following: 70% x Single Premium x(1- M/P ) Where, M : policy month of surrender P : policy term in months",insurance
What are the different benefits available under this product,"There are 3 separate benefits available under this product namely:- Surgical Benefit: Avail up to 100% of Sum Insured in case of 138 surgeries Critical Illness Benefit: Get 100% of Sum Insured if diagnosed with any one of 18 Critical Illnesses Daily Hospital Cash Benefit: Avail Daily Hospital Cash of 1% of Sum Insured per day (Non ICU room) and 2% of Sum Insured per day (ICU) You can select 1, 2 or all the 3 plan benefits at the time of purchasing the policy.",insurance
Are there any other terms and Conditions,"Yes, there are various terms and conditions associated with this plan. For detailed information, please read the SalesBrochure carefully.",insurance
Is there any maturity benefit under this product,There is no maturity benefit available under this product.,insurance
How will the Pay Out happen for this plan,"The payout will depend upon the plan benefit(s) chosen. Daily Hospital Cash Benefit (DHCB) 1. In case of hospitalization, due to any injury, sickness or disease, you will receive 1% of Sum Insured as DHCB if admitted in Non ICU room and 2% of Sum Insured if admitted in ICU room. 2. The benefit will be payable as a lump sum amount after the completion of each continuous hospitalization for more than 24 hours as a result of injury, sickness or disease. The benefit amount payable will be calculated as mentioned below: Daily Hospital Cash Benefit * (Number of Days admitted - 1) 3. Daily Hospital Cash Benefit will be payable for a maximum of 20 days per year in case the Life Assured is admitted in Non ICU room and Twice the Daily Hospital Cash Benefit will be payable for a maximum of 10 days per year if admitted in ICU room. 4. Daily Hospital Cash Benefit will be payable subject to a maximum of 60 and 30 days if admitted in Non ICU and ICU rooms respectively, during the entire policy term. 5. The ICU and non ICU benefits will be independent of each other and subject to their respective limits 6. There is a waiting period of 60 days from the date of commencement or reinstatement of the cover. Waiting period will not be applicable for accidental injury. Surgical Benefit (SB) 1. Surgical Benefit will be payable if the Life Assured has undergone any of the 138 surgeries mentioned in Annexure 2 of the Sales Brochure, provided the surgery is done: a. by a qualified surgeon for a surgical operation and b. performed at a hospital due to injury or c. sickness for covered surgical procedures advised by an independent medical practitioner and the policy is in force during the policy term 2. In case the Life Assured has to undergo a surgery during the policy term, the benefit payable shall be ascertained on the basis of the Category of the Surgery as shown below: CATEGORY** SUM ASSURED (%) 1 100% 2 60% 3 40% 4 20% 3. You are entitled to make multiple claims up to a maximum of 100% of Sum Insured during the policy term. 4. The policyholder shall not be allowed to claim for the same surgery more than once. However, multiple claims from the same category can be made. 5. In case 100% of the Sum Insured has been used up, the cover for Surgical Benefit will cease for the Life Assured for the remaining policy term. However, other benefits (such as Daily Hospital Cash Benefit and Critical Illness Benefit, if applicable) will continue to be in force. 6. There is a waiting period of 60 days from the date of commencement / reinstatement of the cover. Waiting period will not be applicable in case of accidental injury. Critical Illness Benefit (CIB) 1. Lump sum benefit equal to 100% of the Sum Insured shall be payable in case the Life Assured is diagnosed with any of the 18 Critical Illness specified in the Sales Brochure. 2. A 30 day survival period is applicable for the Critical Illness Benefit. This refers to the period from the diagnosis of the Critical Illness that the Life Assured must survive for the Critical Illness Benefit to be payable. 3. Critical Illness Benefit will be payable only once during the entire policy term. 4. Once the Critical Illness Benefit is paid, the benefit will cease for the Life Assured for the remaining policy term. However, other benefits (such as Daily Hospital Cash Benefit and Surgical Benefit, if applicable) will continue to be in force. 5. There is a waiting period of 90 days for Critical Illness Benefit from the date of commencement/ reinstatement of the cover, except in cases where the Critical Illness occurs as a result of an accident (e.g., Major Head Trauma).",insurance
What is the policy term available under this product,"There is a fixed policy term of 5 years. Further, you shall only pay premiums for the benefit(s) as long as the complete payout for that benefit has not happened. The policyholder shall have the option to choose one of the above plan options only at the time of policy inception.",insurance
What are the premium payment frequencies available under this product,You can choose to pay your premiums either annually(Regular Premium) or one time(Single Premium).,insurance
Is there any eligibility criteria under this product,Eligibility Criteria for Easy Health includes: Minimum Entry Age: 18 years Maximum Entry Age: 65 years Minimum Maturity Age: 23 years Maximum Maturity Age: 70 years Policy Term: 5 years Note – Age is taken as on last birthday,insurance
What are the minimum and maximum premiums available under this product,"The minimum and maximum premium amounts differ depending on if single or annual mode of premium payment is selected. The minimum premium under the product is: 1. Rs 2,184 for Single Pay 2. Rs 676 for Regular Pay The maximum premium under the product is: 1. Rs 4,04,279 for Single Pay 2. Rs 1,22,068 for Regular Pay These premium amounts are exclusive of applicable taxes and Swach Bharat Cess.",insurance
What is HDFC Life Capital Shield,"HDFC Life Capital Shield is a non-par Unit Linked Plan. It is an investment-cum-insurance plan that offers the potential of better returns, by investing a part of your money in equity and the balance in debt, while also providing you with life cover. The allocation of your money to debt fund shall systematically increase over time to protect your capital.",insurance
What is the Policy Term available in this plan,Capital Shield provides a Policy Term of 10 years.,insurance
What is the Death Benefit this plan,"In case of the Life Assured’s unfortunate demise during the Policy term, provided all due premiums have been paid, the nominee will be paid the “Sum Assured on Death”. The “Sum Assured on Death” shall be the highest of: - Sum Assured less an amount# for Partial withdrawals made, if any (as detailed below) - Fund value - 105% of total premiums paid till the date of death* #The partial withdrawals to be deducted from the Sum Assured shall be: For death before attainment of age 60 - all partial withdrawals made during the two year period immediately preceding the date of death of the Life Assured. For death on or after attainment of age 60 - all partial withdrawals made after attainment of age 58 years of the Life Assured. Upon payment of the death benefit, the Policy shall terminate and no further benefits are payable.",insurance
What is the Maturity Benefit available under this plan,"Your policy matures at the end of the policy term and all your risk cover ceases. On maturity of the policy, provided all due premiums have been paid, the Life Assured will receive higher of: - Fund Value - Assured Maturity Benefit (as defined below) Assured Maturity Benefit = (101% * “Total Premiums” paid till date) less the Total Partial Withdrawals made till date (if any) Where “Total Premiums” shall be: - For Single Pay policies : Single Premium - For Limited Pay policies : 5 times the Annualised Premium Please note that the Assured Maturity Benefit will be paid only on policy maturity provided all due premiums have been paid and will not apply on death or surrender. Upon payment of the maturity benefit, the Policy shall terminate and no further benefits are payable.",insurance
Are there any exclusions in this plan,"In case of death due to suicide within 12 months from the date of inception of the policy or from the date of the revival of the policy, the nominee or beneficiary of the policyholder shall be entitled to the fund value, as available on the date of death. Any charges recovered subsequent to the date of death shall be paid back to the nominee or beneficiary along with the death benefit.",insurance
What are the age limits for this plan,The age limits for this plan include: Minimum Entry Age 8 years Maximum Entry Age 60 years Minimum Maturity Age 18 years Maximum Maturity Age 70 years,insurance
What are the key features of this plan,- Protect your investment from market risks with an Assured Maturity Benefit of 101% of the Total Premiums paid - Pay premiums only once or for a limited period of 5 years - Get increasing Loyalty Additions from the end of the 6th policy year onwards to boost the Fund Value - Stay protected during the entire policy term with life insurance cover,insurance
What is the difference between Life and Extra Life options,"In addition to the benefits under Life Option, you get an additional Extra Life Sum Assured upon death due to Accident under Extra Life option. Customer has the flexibility to select the amount of Extra Life Sum Assured (maximum up to Base Sum Assured)",insurance
What are the benefits available under Income option,"This option provides the nominee with a Lump sum benefit and a regular stream of level/ increasing monthly income on death of Life Assured. The customer has to select this Lump sum benefit, amount of monthly income, income term for which the income payout will happen (up to 20 years) and a simple rate of increase in income.",insurance
What is the difference between Income and Extra Life Income options,"In addition to the benefits under Income Option, you get an additional Extra Life Sum Assured upon death due to Accident under Extra Life Income option. This additional Sum Assured will be payable partly as Lump sum and partly as income benefit on accidental death.",insurance
What is the difference between 3D Life and 3D Life Long Protection options,"In addition to the benefits under 3D Life Option, Life Assured is covered for whole life under 3D Life Long Protection option. Premiums under this option have to be paid only till an age of 65.",insurance
What is Life Stage Protection feature,"Under this feature, you have the option to increase the basic Sum Assured without underwriting on any of the below specified events in the life of the Life Assured 1stMarriage: 50% of Sum Assured subject to a maximum of Rs. 50 lakhs Birth of 1st child: 25% of Sum Assured subject to a maximum of Rs. 25 lakhs Birth of 2nd child: 25% of Sum Assured subject to a maximum of Rs. 25 lakhs This feature is available under all plan options",insurance
What is Accidental Total Permanent Disability (ATPD),"ATPD means when the life assured is totally, continuously and permanently disabled and meets either of the two definitions below: Unable to Work: Disability as a result of injury or accident and is thereby rendered totally incapable of being engaged in any work or any occupation or employment for any compensation, remuneration or profit and he/she is unlikely to ever be able to do so. Physical Impairments: The life assured suffers an injury/accident due to which there is total and irrecoverable loss of: i. The use of two limbs; or ii. The sight of both eyes; or iii. The use of one limb and the sight of one eye; or iv. Loss by severance of two or more limbs at or above wrists or ankles; or v. The total and irrecoverable loss of sight of one eye and loss by severance of one limb at or above wrist or ankle. The disabilities as stated under “Unable to Work” and “Physical Impairments” must have lasted, without interruption, for at least 6 consecutive months and must, in the opinion of a medical practitioner (as defined below), be deemed permanent. The benefit will commence upon the completion of this uninterrupted period of 6 months. However, for the disabilities mentioned in (iv) and (v) under Part (2), such 6 months period would not be applicable and the benefit will commence immediately.",insurance
How many Critical Illnesses are covered under 3D Life & 3D Life Long Protection options and what is the benefit associated with them,These plan options provide Waiver of Premium benefit if the Life Assured is diagnosed with any of the 34 covered Critical Illness.,insurance
What is Top up option,This option provides for a systematic increase of your cover from 1st policy anniversary onwards. This option is available under all plan options and has to be opted at policy inception.,insurance
What is the Policy Term available under this plan,For all options other than Life Long Protection and 3D Life Long Protection options – 5 to 40 years For Life Long Protection and 3D Life Long Protection options – Whole of Life,insurance
How many plan options are available under this plan,The following plan options are available under this plan. 1. Life Option 2. 3D Life Option 3. Extra Life Option 4. Income Option 5. Extra Life Income Option 6. Income Replacement Option 7. Return of Premium Option 8. Life Long Protection Option 9. 3D Life Long Protection Option The customer shall have to choose an option at the inception of the policy. The option once selected cannot be changed at a later date.,insurance
Is this plan only available online,"No, this plan is available on both Online and Offline platforms",insurance
What is the difference between Life and 3D Life options,"In addition to the benefits under Life Option, you will receive an additional benefit of waiver of your future premiums upon diagnosis of Critical Illness under 3D Life option",insurance
What is the difference between Life and Return of Premium options,"In addition to the benefits under Life Option, upon survival of the Life Assured till the end of the Policy term, Total premiums paid till date will be returned back as maturity benefit",insurance
What is the difference between Life and Life Long Protection options,"In addition to the benefits under Life Option, Life Assured is covered for whole life under Life Long Protection option. Premiums under this option have to be paid only till an age of 65.",insurance
Are there any alterations allowed under this plan,You shall have the option to alter the premium payment frequency at any Policy anniversary,insurance
Does this plan offer tax benefits,"Premiums paid by an individual or HUF under this plan are eligible for tax benefits under Section 80C of the Income Tax Act, 1961, subject to the conditions/ limits specified therein. Under Section 10 (10D) of the Income Tax Act, 1961, the benefits received from this policy are exempt from tax, subject to the conditions specified therein. Please note that the above mentioned benefits are as per the current tax rules. Your tax benefits may change if the tax rules are changed. You are requested to consult your tax advisor.",insurance
What are the benefits available under Life Option,Under this option your nominee will get a Lump sum Benefit on death or diagnosis of Terminal Illness. Your future premiums will be waived upon Accidental Total Permanent Disability. These benefits are available under all plan options,insurance
What does 3D stand for in HDFC Life Click 2 Protect 3D Plus,"3D stands for Death, Disease & Disability. HDFC Life Click 2 Protect 3D Plus is a comprehensive term plan that provides protection against these 3D's.",insurance
Do I need to have Auto Insurance,"Yes, the Motor Vehicle Act states that every motor vehicle plying on the road has to be insured with a Liability Only policy at the very least.",insurance
Do I need to lodge an FIR in case of an accident,"You will need to lodge an FIR in the following circumstances: Any third party personal injury or death due to an accident involving your vehicle Any personal injury or death of a paid driver Any personal injury or death of an owner-driver Any personal injury or death of a passenger Any third party property damage Theft of the entire vehicle Theft of accessories, stereo-recorders, other vehicle parts",insurance
"During the policy period, if I add accessories like a music system in my vehicle, are they also covered","Yes, they will be, as long as you make a written request to us with a description of the accessory along with its value. You may also have to pay an additional premium.",insurance
What is IDV (Insured’s Declared Value),"The Insured's Declared Value (IDV) of the vehicle will be deemed to be the 'SUM INSURED' and it will be fixed at the commencement of each policy period for each insured vehicle. The IDV of the vehicle is to be fixed on the basis of the manufacturer’s listed selling price of the brand and model as the vehicle proposed for insurance at the commencement of insurance/renewal, and adjusted for depreciation (as per the schedule specified below). The IDV of the side car and/or accessories, if any, filled to the vehicle but not included in the manufacturer’s listed selling price of the vehicle is also likewise to be fixed. Age of the vehicles % depreciation to fix IDV Not exceeding 6 months 5% Exceeding 6 months but not exceeding 1 year 15% Exceeding 1 year but not exceeding 2 years 20% Exceeding 2 years but not exceeding 3 years 30% Exceeding 3 years but not exceeding 4 years 40% Exceeding 4 years but not exceeding 5 years 50%",insurance
What is salvage and what happens to it,"Salvage refers to discarded parts that are damaged beyond repair and need to be replaced. If these parts have no economic value (broken glass, torn plastic, rubber parts), they are thrown away. However, parts like doors, panels, petrol tanks, front forks, etc. do have a residual commercial value. To avoid recycling of such parts that may be repaired and sold as new, these need to be destroyed to prevent malpractices by unethical workshops.",insurance
What documents do I need to submit when buying Insurance for my vehicle,"All you need to submit is a signed proposal form, in certain cases you have to submit some additional documents, if required.",insurance
Are there any specific exclusions under a Motor Policy,"The following are not covered under a Motor Policy: Wear and Tear Mechanical or Electrical Breakdown, failure Depreciation, any consequential loss Driving under the influence of liquor or drugs Loss or damage attributable to war, mutiny, nuclear risks Any contractual liability View more",insurance
Can I buy a Motor Insurance policy online,"Yes, you can purchase an HDFC ERGO Motor Insurance policy online by using your Credit Card or online bank account.",insurance
Can I pay the premium for my Auto Insurance in instalments,"No, the law (Insurance Act, 1938) does not permit us to accept your Auto Insurance premiums in instalments.",insurance
Can I renew my Motor policy online,"Yes, you can renew your HDFC ERGO Motor Insurance policy online by using your Credit Card or bank account.",insurance
Can I renew other insurer policies with HDFC ERGO online,Yes. You just have to log on to www.hdfcbank.com and provide minimum details of your expiring policy and buy an HDFC ERGO Motor Insurance policy online. Also avail benefits of the No Claim Bonus earned by you in full.,insurance
How is the premium for Motor Insurance calculated,"The premium is calculated based on the Make and Model of your vehicle, its age, place of registration, fuel type and Insured Declared Value (IDV). The premium is also subject to certain deductions based on the insured’s age and occupation and the No Claim Bonus earned by the insured during the policy period. You will need to submit documents or particulars to avail of these discounts. In case you want extended coverage – for Personal Accident, Electrical/Non-Electrical Accessories, etc. you may have to pay an additional premium of the same.",insurance
What is a Motor Insurance cover note,A cover note is a temporary insurance document establishing proof of Insurance with which you can register your vehicle. A cover note is valid for 60 days from the date of its issuance and is replaced by an Insurance policy.,insurance
What documents need to be submitted when I make a claim under my Motor Insurance policy,"You will need to submit a claim form along with the following: A copy of the vehicle's registration book A copy of the driving licence of the person driving the vehicle at the time of the accident An estimate of the repairs A copy of the police FIR/panchnama in case of theft or any third party personal injury/death or property damage If the vehicle is declared a total loss, either due to an accident or theft, you will also have to provide the following documents – RTO transfer papers, original RC book, original Insurance policy, the vehicle’s original keys, a No Objection Certificate from you to transfer of the vehicle, a letter of indemnity on judicial stamp paper and a letter of subrogation on judicial stamp paper.",insurance
Will HDFC ERGO General Insurance give me an advance on the basis of a damage estimate under the Motor Insurance policies,"No, your vehicle must first be repaired, after which we will reimburse the amount payable to you or pay the garage directly in the case of cashless settlement under your policy.",insurance
What if I misplace my Motor Insurance policy document,Call our toll-free helpline 1800-2-700-700 and we’ll advise you how to proceed. You may have to pay a small fee for a duplicate policy.,insurance
What is meant by total loss under the Motor Insurance policy,Total loss means accidental damage to your vehicle where the cost of repair amounts to more than 75% of the IDV on your policy.,insurance
What is a No Claim Bonus (NCB) under a Motor Insurance policy,"It is a discount in the own damage premium payable when renewing your policy after a claim-free year. It is an incentive for driving carefully and avoiding accidents. The No Claim Bonus on all types of vehicles, and the discount is as follows: All Vehicles % discount on Own Damage premium No claim made or pending during the preceding full year of insurance 20% No claim made or pending during the preceding 2 consecutive years of insurance 25% No claim made or pending during the preceding 3 consecutive years of insurance 35% No claim made or pending during the preceding 4 consecutive years of insurance 45% No claim made or pending during the preceding 5 consecutive years of insurance 50%",insurance
What is HDFC ERGO General Insurance role in a third party injury/property damage suit,"We will handle the legal suit from the moment you receive a notification till the case is resolved. We will either settle the case out of court or actively defend the matter at the Motor Accident Claims Tribunal. Your co-operation will be essential in gathering the necessary documents and preparing a defence – viz. vehicle registration papers, driving licence of the person driving the vehicle, police FIR and panchnama, vakalatnama signed by you, your written statement as to the facts of the accident. We will also take care of legal liability and costs awarded by the tribunal. However, we will not be able to help you in the following situations: Where your insurance policy is not valid, either because it has expired or because the cheque for your premium has been dishonoured. The person driving the vehicle at the time of the accident was under the influence of drugs or alcohol. The person driving the vehicle at the time of the accident did not hold a valid driving licence to drive the said vehicle. View more",insurance
What are the different classes of vehicles which can be insured by HDFC ERGO,We can provide both Comprehensive and Liability Only Policies for all classes of vehicles mentioned below: Private Car Two Wheelers Commercial Vehicles Goods Carrying Vehicles (GCV) Trailers Passenger Carrying Vehicles (PCV) Miscellaneous and Special Types of Vehicles,insurance
How do I renew my Commercial Vehicle Insurance policy,We will send you a renewal notice well in advance of your policy expiry date. You need to confirm acceptance of renewal and send your cheque for the premium to us at our correspondence address. You can also renew your policy through the dealer/agent from where you initially bought your policy.,insurance
What are the different types of Personal Accident Covers available for drivers and passengers,"An owner driver is given Personal Accident Cover up to Rs. 2 lakhs (for cars)/ Rs. 1 lakh (for two-wheelers). This cover can also be extended to paid drivers and persons travelling in the vehicle, on a named and unnamed basis.",insurance
What are the different types of  Commercial Vehicle Insurance available,"There are two types of covers available: Liability Cover Only – This insures you against any legal liability following an accident involving your vehicle. It does not cover any damage to your vehicle.Package Cover – This insures all liabilities, as per the Motor Vehicle Act and damages cause to your vehicle.",insurance
What are the different types of  Commercial Vehicle Insurance available,"There are two types of covers available: Liability Cover Only – This insures you against any legal liability following an accident involving your vehicle. It does not cover any damage to your vehicle.Package Cover – This insures all liabilities, as per the Motor Vehicle Act and damages cause to your vehicle.",insurance
What are the different types of Personal Accident Covers available for drivers and passengers,"An owner driver is given Personal Accident Cover up to Rs. 2 lakhs (for cars)/ Rs. 1 lakh (for two-wheelers). This cover can also be extended to paid drivers and persons travelling in the vehicle, on a named and unnamed basis.",insurance
How do I renew my Commercial Vehicle Insurance policy,We will send you a renewal notice well in advance of your policy expiry date. You need to confirm acceptance of renewal and send your cheque for the premium to us at our correspondence address. You can also renew your policy through the dealer/agent from where you initially bought your policy.,insurance
What are the different classes of vehicles which can be insured by HDFC ERGO,We can provide both Comprehensive and Liability Only Policies for all classes of vehicles mentioned below: Private Car Two Wheelers Commercial Vehicles Goods Carrying Vehicles (GCV) Trailers Passenger Carrying Vehicles (PCV) Miscellaneous and Special Types of Vehicles,insurance
Can HDFC Ergo Student Travel insurance suraksha policy be extended,The extension under the policy shall be provided subject to the following conditions: The original policy period has not expired The sum insured shall not be enhanced There is no claim during the original policy period Declaration of good health shall be provided by the insured Extension premium has to be paid before actual extension is affected The entire policy period along with Extension does not exceed 2 years Please note that extension on a policy can be availed only once during the risk period.,insurance
Cab sum assured be extended,The Sum Insured cannot be increased.,insurance
Can the policy be cancelled,"The policy may be cancelled via request on Email/Fax. The intimation of cancellation has to reach us within 14 days of policy issuance. If the policy has already incepted, a copy of all 40 pages of the passport needs to be submitted as a proof that the journey has not been undertaken. Cancellation charges of Rs. 250/- shall be applicable and the balance shall be refunded.",insurance
Where one can avail the claim form,"On registration of a claim, claim form will be sent to you by post, e-mail or fax along with the list of documents required for assessing the claim. The claim form is also available on our website.",insurance
What does “deductables” means,Deductible means the amount of a claim that has to be borne by the insured.,insurance
For how many days policy can be extended,The total policy period including extension should not exceed 2 years.,insurance
How Do I extend my HDFC Ergo Student Travel insurance surakshapolicy,Please send a request mail to [email protected] for extension of policy along with health declaration attached to it. You will receive a response from us with the detailed procedure and the additional premium amount.,insurance
When do I have to submit a medical exam,Any insured with an adverse medical history has to submit medical reports irrespective of the trip band.,insurance
What is the benefit under Hijack Distress Allowance,"If the Common Carrier in which the insured person is abroad is hijacked, the company agrees to pay compensation for every six continuous hours in excess of the deductible.",insurance
Is travel insurance mandatory,"Travel Insurance is not mandatory in India. However, it is mandatory in the UK and others countries including Austria, Greece, Portugal, Spain, France, Germany, Belgium, Luxembourg and the Netherlands. However, for a safe and peaceful trip, we recommend that you have a travel insurance policy no matter which country you are travelling to.",insurance
What are the various HDFC ERGO Travel Insurance policies,"HDFC ERGO provides coverage for Single Trip, Multiple Trip, Asia and a Family Floater Plan with various sums insured options to choose from.",insurance
What is covered under Delay of Checked Baggage,This will reimburse the insured person on the cost of replacement of articles if the Checked-in Baggage or Personal Documents are delayed or misdirected.,insurance
What is covered under the benefit Loss of Checked Baggage,This benefit will reimburse the insured person the cost of replacement of the articles if the Checked-in Baggage or Personal Documents are permanently damaged or lost.,insurance
Are ambulance charges covered under a Travel Policy,Emergency Medical Expenses include ambulance service (to and from the hospital).,insurance
Can a foreign national be covered under a Travel Policy,"A foreign national working in India, with an Indian employer of a multinational company, earning in INR can be covered subject to the verification of a Ration Card and IT verification.",insurance
Why do I require Travel Insurance,"Travel Insurance provides you and your family medical, financial and other assistance in case of an emergency or untoward circumstances while travelling on an International trip. No matter what the purpose of your travel, business or pleasure, you are safer with Overseas Travel Insurance that will protect you from unfortunate events such as loss or delay in checked-in baggage, loss or passport, a medical emergency or an accident.",insurance
Will a claim in a Travel Insurance policy be settled on return to India,"A claim will be settled once the insured returns to India, expect in the case of hospitalization.",insurance
Do I have to go through a medical exam for a Travel Insurance policy,"No, there is no medical exam required for anyone below the age of 70 years.",insurance
Can I claim under both Loss of Checked Baggage and Delay of Checked Baggage,"No, because if your baggage and/or personal belongings are lost later, then any amount claimed and paid to an insured person under the Baggage Delay Section will be deducted from any payment under the Baggage Loss Section.",insurance
What are the medical reports that need to be submitted to avail of Travel Insurance,"For any insured with an adverse history of: Blood Sugar PP and Fasting ECG Report with tracing Echo Cardiography report USG Whole Abdomen Any insured with any of these needs a doctor’s certificate with all details of past ailments and present medication, if any and a doctor’s certificate stating the insured is fit to travel. View more",insurance
What does Medical Repatriation and Evacuation cover under Travel Insurance,Emergency Medical Evacuation means the arrangement for transportation required to move an insured to the nearest hospital and Medical Repatriation means the arrangement for transportation required to move an insured to his/her country of residence following an emergency.,insurance
Can I avail of a cashless facility for hospitalisation under Travel Insurance,"Yes, we extend a cashless facility for hospitalisation.",insurance
Is loss of passport covered under Travel Insurance,"Yes, loss of passport is covered in the policy. It is covered under the benefit of ‘Loss of personal documents’. The assistance provider helps the insured contact the consular authorities and arrange for its replacement in the case of loss of passport.",insurance
Can be the Travel Insurance policy be cancelled,"The policy may be cancelled via request on email/fax, only if the journey has not commenced subject to premium retention of Rs. 250 (including Service Tax). A copy of the insured’s passport has to be submitted as proof. Any request for cancellation will be entertained not less than 14 days after the first date of insurance as indicated in the policy schedule.",insurance
Where can I get a claim form for Travel Insurance,"On registration of a claim, the claim form will be forwarded to you by mail, email or fax along with the intimation for the various documents required. The forms are also available on the website.",insurance
Does the Travel Insurance policy cover loss of cash/Credit Card,"The company is not liable to pay any benefit in respect of loss of cash, bank or currency notes, cheques, Debit or Credit Cards.",insurance
